id,title,vegetarian,vegan,dairyFree,veryHealthy,veryPopular,lowFodmap,ketogenic,image,aggregateLikes,healthScore,percentProtein,percentFat,percentCarbs,dishTypes,ingredients,calories,Fat_g,Saturated Fat_g,Carbohydrates_g,Sugar_g,Cholesterol_mg,Sodium_mg,Protein_g,Vitamin B3_mg,Iron_mg,Vitamin B2_mg,Calcium_mg,Vitamin B1_mg,Potassium_mg,Zinc_mg,Magnesium_mg,Vitamin B12_µg,Vitamin B5_mg,Vitamin E_mg,Fiber_g,Vitamin A_IU,Vitamin C_mg,Alcohol_g
1,Fried Anchovies with Sage,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/1-556x370.jpg,3,29,39.64,25.43,34.93,"lunch,main_dish,dinner","anchovies,baking powder,egg,flour,sage leaves,salt,seltzer water,vegetable oil",384.09,10.53,3.6,32.53,0.17,145.28,955.48,36.92,23.67,7.22,0.66,295.1,0.42,778.81,3.09,73.36,1.07,1.38,1.09,1.16,154.8,0,0
2,Anchovies Appetizer With Breadcrumbs  Scallions,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/2-556x370.jpg,0,4,36.52,36.52,26.96,appetizers,"anchovies,bread,garlic clove,olive oil,scallions",57.07,2.28,0.47,3.79,0.5,12.76,59.43,5.13,3.42,0.99,0.08,43.55,0.05,103.37,0.46,12.62,0.13,0.2,0.29,0.38,0,0,0
3,"Carrots, Cauliflower And Anchovies",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/3-556x370.jpg,0,63,6.74,66.86,26.4,"lunch,main_dish,dinner","acini di pepe,almonds,anchovies,carrots,cauliflower,extra virgin olive oil,extra-virgin olive oil,lemon juice,rocket,salt and pepper",942.08,72.72,9,64.61,11.09,1.92,296.97,16.51,2.86,4.49,0.43,207.76,0.18,848.6,1.53,122.71,0,0.78,17.01,9.99,21572.42,32.6,0
4,Bap Story: Stir Fried Anchovies (Myulchi Bokkeum),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/4-556x370.jpg,11,70,29.89,64.41,5.7,"lunch,main_dish,dinner","anchovies,baby-back ribs,cooking oil,frying oil,garlic,garlic,ground ginger,pine nuts,plum,rice syrup,rice syrup,sesame seeds,sugar,sprinkle",1697.23,122.21,36.39,24.3,14.09,436.23,583.67,127.61,50.14,9.35,1.99,406.7,2.76,1875.89,17.27,187.05,3.64,5.24,5.23,2.1,180.52,3.88,0
5,"Bread, Butter And Anchovies",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/5-556x370.jpg,0,1,11.01,39.96,49.03,,"bread,capers,salted anchovies,butter",112.75,5.05,2.8,13.95,1.71,10.75,276.25,3.13,1.68,1.02,0.08,40.64,0.13,52.96,0.34,13.64,0,0.24,0.19,1.24,128.27,0,0
6,Fried Anchovies,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/6-556x370.jpg,0,6,9.93,79.28,10.79,appetizers,"anchovies,cayenne pepper,cherry tomatoes,crusty bread,eggs,extra virgin olive oil,flour,olive oil,salt and pepper",356.02,31.47,4.74,9.64,0.08,60.33,48.39,8.87,4.99,1.92,0.19,53.01,0.12,145.73,0.75,16.55,0.29,0.42,4.44,0.35,88.84,0,0
7,"Tomato  Anchovies With Bread Crumbs, Basil  Red Onion   Recip",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/7-556x370.jpg,31,14,12.37,57.91,29.72,snack,"anchovy,basil leaves,bread crumbs,extra virgin olive oil,pepper,red onion,sherry vinegar,tomato",142.07,9.24,1.4,10.67,2.63,7.2,89.34,4.44,2.69,1.14,0.09,46.59,0.13,218.36,0.48,17.32,0.11,0.2,1.53,1.37,498.84,8.57,0
9,Marinated Fresh Anchovies: Alici Marinate,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/9-556x370.jpeg,7,33,45.61,48.71,5.68,"lunch,main_dish,dinner","fresh anchovies,garlic,olive oil,oregano,parsley,red chile flakes,sea salt,white wine vinegar",221.39,11.29,2.28,2.96,0.27,68.04,1904.29,23.79,16.3,5.27,0.32,210.52,0.08,558.27,2.19,59.22,0.7,0.8,2.47,1.49,1271.31,10.29,0
10,Marinated Boquerones,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,https://spoonacular.com/recipeImages/10-556x370.jpg,6,82,27.56,62.99,9.45,"lunch,main_dish,dinner","bell pepper,chillies,coarse sea salt,extra-virgin olive oil,fresh anchovies,fresh parsley,fresh thyme,garlic cloves,juice of lemon,sherry vinegar",265.68,18.35,3.04,6.19,3.69,50,287.85,18.06,12.59,3.68,0.29,140.54,0.1,540.94,1.71,49.36,0.52,0.82,3.75,1.97,2830.48,114.99,0
11,Spaghetti With Walnuts And Anchovies,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/11-556x370.jpg,15,45,14.07,25.16,60.77,"lunch,main_dish,dinner","garlic cloves,pecorino,spaghetti,walnuts",581.03,16.3,2.9,88.56,3.61,8.67,107.69,20.51,2.17,2.14,0.13,136.43,0.18,355.42,2.43,94.13,0.09,0.65,0.28,4.96,0,1.18,0
12,Roasted Peppers with Boquerones,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,https://spoonacular.com/recipeImages/12-556x370.jpg,0,48,20.59,12.53,66.88,snack,"boquerones,red bell peppers,sherry vinegar,sugar",32.19,0.44,0.07,5.28,3.78,2.4,7.54,1.63,1.36,0.49,0.08,11.7,0.05,188.83,0.27,11.53,0,0.29,1.32,1.72,2569.42,104.72,0
13,"Anchovies, Tomatoes And bean Couscous",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/13-556x370.jpg,0,100,13.78,27.37,58.85,"lunch,main_dish,dinner","anchovies,anchovies in extra virgin olive oil,balsamic vinegar,basil,basil,bell pepper,cherry tomatoes,cherry tomatoes,couscous,couscous,extra virgin olive oil,extra-virgin olive oil,bean,bean,salad mix,salt,tomatoes,vegetarian bacon",1093.72,33.47,4.96,161.94,21.5,26.22,1319.18,37.92,16.39,7.95,0.58,234.99,0.73,1987.86,3.44,190.94,0.31,3.42,9.18,17.86,6792.82,205.25,0
16,Sliced Baguette With Radishes And Anchovy Butter,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/16-556x370.jpg,159,4,2.81,87.77,9.42,snack,"anchovy,baguette,chives,coarse kosher salt,fresh chives,radishes,butter",946.35,94.01,58.79,22.69,1.29,248.83,487.31,6.78,3.15,1.76,0.21,88.25,0.22,217.94,0.75,23.81,0.24,0.42,2.82,1.95,3147.88,9.99,0
17,Savory Slow Roasted Tomatoes with Filet of Anchovy,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,https://spoonacular.com/recipeImages/17-556x370.jpg,0,99,47.17,44.21,8.62,"lunch,main_dish,dinner","anchovy filets,extra virgin olive oil,fire-roasted tomatoes,herbs,Salt  Pepper,summer squash,sun-dried tomatoes,tomatoes,Top Sirloin,pomodori al forno con le acciughe,remove from oven",479.22,23.3,5.17,10.23,6.89,142.94,353.64,55.94,18.43,5.03,0.37,101.42,0.28,1491.14,9.76,88.36,2.22,1.82,4.07,3.11,2124.67,34.46,0
18,Anchovy Vinaigrette,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,https://spoonacular.com/recipeImages/18-556x370.jpg,221,9,5.55,67.1,27.35,,"bell pepper,club soda,cream-style corn,dijon mustard,extra virgin olive oil,food dye,food dye,oil-packed anchovies,red wine vinegar,wine,kids,kitchen  tabletop",234.07,9.57,1.33,8.78,4.34,2.55,138.15,1.78,1.59,1.1,0.11,25.14,0.05,324.67,0.47,28.23,0,0.32,2.57,1.62,2335.42,95.22,15.39
19,No-knead Fennel  Anchovy Pizza,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/19-556x370.jpg,0,50,12.97,24.18,62.85,"lunch,main_dish,dinner","anchovy,cornmeal,fennel,fennel bulb,flour,lemon zest,mozzarella cheese,olive oil,pepper,pizza dough",673.11,19.12,4.84,111.8,8.33,16.53,1398.69,23.06,4.61,8.62,0.27,420.31,0.08,2707.41,1.94,117.37,0.45,1.56,1.41,22.35,997.19,78.08,0
20,"Pan-roasted East Coast Skate, Anchovy And Broccoli Pickle",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/20-556x370.jpg,0,2,1.8,93.88,4.32,snack,"capers,extra virgin olive oil,garlic,green chilli,green olives,ice water,juice of lime,sea-salt,sherry vinegar,skate wings,tarragon,anchovies,butter",487.36,52.31,10.09,5.41,0.9,18.23,1103.6,2.26,0.91,1.37,0.06,59.91,0.02,120.5,0.23,17.85,0,0,7.56,2.19,431.73,7.65,0
21,"Anchovies, bean And Rocket",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/21-556x370.jpg,1,100,45.14,31.82,23.04,"lunch,main_dish,dinner","anchovies in extra virgin olive oil,bean,extra firm tofu,extra-virgin olive oil,parsley,pinenuts,bean,rocket",1737.43,61.63,9.49,100.41,24.96,2.91,1640.68,196.71,7.35,33.72,1,926.33,2.31,4713.46,16.8,771.9,0,0.72,3.4,22.35,1525.12,13.63,0
22,Anchovy And Onion Tart,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/22-556x370.jpg,4,19,9.43,32.44,58.13,snack,"active yeast,anchovy filets,bouquet garni,flour,olive oil,olives,onions,rosemary,salt,salt and pepper",453.01,16.45,2.38,66.33,8.24,4.8,1491.51,10.76,5.54,3.99,0.43,76.69,0.71,393.53,1.01,38.62,0,0.72,2.42,5.61,64.67,14.17,0
23,"Cauliflower, Anchovies and Tomatoes",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/23-556x370.jpg,0,92,9.24,54.57,36.19,snack,"anchovies,balsamic vinegar,bell pepper,capers,cauliflower,cherry tomatoes,chives,extra virgin olive oil,fish,parsley,red chilli pepper,salad mix,salt,tomatoes,vegetarian bacon",242.49,15.35,2.15,22.91,14.56,2.92,314.57,5.85,3.7,2.84,0.18,64.54,0.29,1073.76,0.96,55.83,0.07,0.71,5.13,5.2,5490.57,183.66,0
25,Anchovy Fries with Smoked Paprika Aioli,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/25-556x370.jpg,0,9,17.85,64.8,17.35,"lunch,main_dish,dinner","anchovies,eggs,flour,garlic clove,hungarian paprika,kosher salt,lemon juice,lemon wedges,olive oil,panko bread crumbs,paprika,vegetable oil",379.83,27.3,5.52,16.44,1.11,113.12,477.11,16.92,9.38,3.5,0.34,123.71,0.23,304.69,1.53,34.9,0.59,0.83,3.75,1.11,513.05,2.11,0
26,Sliced Baguette With Radishes And Anchovy Butter,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/26-556x370.jpg,17,0,3,87.37,9.63,appetizers,"anchovy,baguette,chives,coarse kosher salt,fresh chives,radishes,butter",59.43,5.88,3.68,1.46,0.1,15.55,212.16,0.45,0.2,0,0,0,0,0,0,0,0,0,0.18,0,237.55,1.17,0
27,Cook the Book: Braided Beef with Anchovies and Olives,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,https://spoonacular.com/recipeImages/27-556x370.jpg,0,99,59.16,37.11,3.73,"lunch,main_dish,dinner","anchovy,bell pepper,extra virgin olive oil,kalamata olives,loin roast",592.97,23.67,5.81,5.36,3.25,236.48,542.83,84.91,23.2,2.76,0.77,49.95,1.67,1573.21,6.95,110.63,1.93,3.03,3.24,2.31,2426.02,95.14,0
28,Potato Salad With Green Goddess Dressing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/28-556x370.jpg,13,37,13.73,17.84,68.43,salad,"anchovies,basil,lemon juice,new potatoes,olive oil,parsley,red onion,red wine vinegar,salt,strained yogurt,sugar,tarragon",260.24,5.29,0.82,45.64,4.82,2.47,224.62,9.15,2.91,2.8,0.21,102.35,0.21,1132.87,1.01,68.74,0.26,0.84,0.73,5.69,252.86,51.67,0
29,"Skate, Chicory, and Anchovy",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/29-556x370.jpg,0,100,8.8,68.67,22.53,,"anchovy,bell pepper,black peppercorns,capers,celery,chicory,curly parsley,curly parsley,extra virgin olive oil,fennel,garlic,garlic,lemon zest,onion,rocket,sea salt,skate,white wine,wine vinegar",523.45,38.23,5.45,28.22,6.71,12,344.2,11.02,5.37,5.44,0.39,297.02,0.31,1575.75,3.03,98.11,0.12,2.92,7.77,12.79,9349.85,149.98,6.18
30,Raw Mustard Greens Salad With Gruyère And Anchovy Croutons,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/30-556x370.jpg,12,32,9.74,61.92,28.34,salad,"anchovy,bread cubes,garlic cloves,lemon juice,lemon juice,mustard greens,mustard greens,olive oil",273.77,19.63,2.77,20.22,3.42,2,172.16,6.95,3.05,3.09,0.21,177.34,0.23,513.95,0.69,51.41,0,0.51,4.95,4.86,3432.02,83.13,0
31,Caramelized Onion And Fresh Anchovy Tart,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/31-556x370.jpg,5,32,9.59,62.55,27.86,snack,"balsamic vinegar,cane sugar,fresh anchovies,olive oil,puff pastry,red onions,rocket,salt and pepper,thyme",576.43,40.39,8.62,40.47,7.24,22.33,403.53,13.93,8.07,3.67,0.33,129.65,0.33,415.38,1.27,48.67,0.23,0.47,2.7,2.92,726.9,11.54,0
32,Anchovy Crostini With Onion-and-raisin Relish,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/32-556x370.jpg,0,44,11.66,31.86,56.48,snack,"baguette,bay leaf,coarse salt,dry white wine,golden raisins,oil packed tuna,olive oil,onions,pine nuts,radicchio,white-wine vinegar",425.57,14.88,2.21,59.35,6.51,1.08,817.52,12.25,5.44,3.79,0.34,98.89,0.5,402.32,1.63,55.17,0.13,0.59,2.93,4.09,0,6.74,1.03
33,Radish Salad Lugano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/33-556x370.jpg,4,24,12.58,80.87,6.55,salad,"anchovies,anchovy paste,apple cider vinegar,black olives,dijon mustard,fresh tarragon,garlic,gruyere cheese,olive oil,parsley,radishes,salt and pepper,scallions",738.23,67.23,18.89,12.26,5.98,76.35,983.62,23.52,1.82,1.95,0.33,774.24,0.1,810.81,3.58,62.7,1.09,0.92,7.13,5.61,843.23,45.37,0
34,Cardoons With Anchovy-garlic ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/34-556x370.jpg,3,1,3.57,92.71,3.72,snack,"anchovy filets,butter,garlic,garlic clove,lemon,olive oil,olive oil",210.25,22.29,5.03,2.01,0.46,14.98,43.01,1.93,1.15,0.49,0.03,19.57,0,60.81,0.16,5.06,0,0,2.77,0.53,126.34,9.85,0
35,Anchovy and Herb Marinade,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,https://spoonacular.com/recipeImages/35-556x370.jpg,0,12,1.59,93.81,4.6,snack,"anchovy,capers,flat-leaf parsley,kosher salt,lemon juice,lemon zest,olive oil",197.04,21.24,2.95,2.34,0.56,0.6,702.2,0.81,0.38,1.17,0.03,26.58,0.02,105.91,0.2,10.3,0,0,3.19,0.77,1271.02,27.22,0
36,Beet Greens With Anchovies,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/36-556x370.jpg,0,28,13.05,68.34,18.61,snack,"anchovies in salt,beet greens,beet greens,beet greens,beet greens,food dye,food dye,garlic,olive oil,parmesan cheese,poppy seeds,radishes,red pepper flakes,roma tomato,water",113.29,8.95,1.88,5.48,2.15,3.4,471.72,3.85,0.57,1.19,0.11,119.14,0.05,411.47,0.55,31.25,0,0.22,1.91,2.63,1989.7,19.91,0
37,Roasted Cauliflower With Anchovy Bread Crumbs,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://spoonacular.com/recipeImages/37-556x370.jpg,13,81,10.97,51.47,37.56,snack,"anchovy,bread crumbs,cauliflower,extra virgin olive oil,extra virgin olive oil,fresh sage leaves,garlic,kosher salt,lemon zest,shallot,sugar",516.46,30.87,4.6,50.68,13.07,6.4,585.73,14.8,5.88,4.05,0.41,180.9,0.56,1304.67,1.82,80.64,0.19,2.88,4.33,10.05,0,191.53,0
